\sortInfo = ASC,scan_id,frame_num,band
|in_row_id|in_ra             |in_dec            |band  |crval1          |crval2         |ra1             |dec1           |ra2             |dec2           |ra3             |dec3           |ra4             |dec4           |magzp   |magzpunc|modeint  |scan_id|scangrp|frame_num|date_obs               |mjd_obs       |dtanneal         |utanneal               |exptime|debgain|febgain|moon_sep|saa_sep|qual_frame|qual_scan|
|long     |double            |double            |i     |double          |double         |double          |double         |double          |double         |double          |double         |double          |double         |double  |double  |double   |char   |char   |int      |char                   |double        |double           |char                   |double |double |double |double  |double |int       |int      |
|         |deg               |deg               |      |deg             |deg            |deg             |deg            |deg             |deg            |deg             |deg            |deg             |deg            |mag     |mag     |DN       |       |       |         |                       |yr            |s                |                       |s      |e-/DEB ADU|e-/SUR ADU|deg     |deg    |          |         |
|         |                  |                  |null  |null            |null           |null            |null           |null            |null           |null            |null           |null            |null           |null    |null    |null     |null   |null   |null     |null                   |null          |null             |null                   |null   |null   |null   |null    |null   |null      |null     |
         1 148.88822000000000 69.065290000000000      3 148.512226680594 69.222977008913 148.191671535231 69.763295722863 150.038202585600 69.325849431338 148.812682592339 68.685416819441 146.993600854559 69.108015166242 17.80000 0.012000  1229.396  03641a      1a       208 2010-04-13 23:52:55.061 55299.99508172 40054.70728701350 2010-04-13 12:45:20.354     8.8   6.830 12.8300   94.064  88.953         10         5
         1 148.88822000000000 69.065290000000000      4 148.515743835638 69.223460646036 148.182584024614 69.766394365401 150.043941834587 69.333407467758 148.827370301559 68.684325328597 146.995087930868 69.102015899943 12.94500 0.012000   400.302  03641a      1a       208 2010-04-13 23:52:55.061 55299.99508172 40054.70728701350 2010-04-13 12:45:20.354     8.8   4.730  8.8600   94.064  88.953         10         5
         1 148.88822000000000 69.065290000000000      1 148.684402630373 68.729305545793 148.347777804091 69.266555944740 150.168327740834 68.838065879628 149.001477068105 68.194241406786 147.206382137246 68.608907869710 20.75200 0.006000    13.003  03642a      2a       231 2010-04-14 01:28:05.098 55300.06117012 45764.74432015420 2010-04-13 12:45:20.354     7.7   3.750  5.7400   93.948  95.559         10         5
         1 148.88822000000000 69.065290000000000      2 148.683776323587 68.728799615812 148.348686237248 69.267771012944 150.174534330792 68.833828352806 148.999708114427 68.192161126247 147.198934214759 68.611860617315 19.59600 0.007000    28.571  03642a      2a       231 2010-04-14 01:28:05.098 55300.06117012 45764.74432015420 2010-04-13 12:45:20.354     7.7   4.600  6.8600   93.948  95.559         10         5
         1 148.88822000000000 69.065290000000000      3 148.682558873242 68.728337754391 148.362949345430 69.268183637188 150.173331509078 68.833644373422 148.982573761877 68.191235127600 147.198867144633 68.611293660876 17.80000 0.012000  1234.665  03642a      2a       231 2010-04-14 01:28:05.098 55300.06117012 45764.74432015420 2010-04-13 12:45:20.354     8.8   6.830 12.8300   93.948  95.559         10         5
         1 148.88822000000000 69.065290000000000      4 148.685992314237 68.728826590922 148.354035822143 69.271269384033 150.178842276530 68.841211266169 148.996954354372 68.190165928331 147.200378806799 68.605297128844 12.94500 0.012000   401.968  03642a      2a       231 2010-04-14 01:28:05.098 55300.06117012 45764.74432015420 2010-04-13 12:45:20.354     8.8   4.730  8.8600   93.948  95.559         10         5
         1 148.88822000000000 69.065290000000000      1 149.749543890576 69.311410447223 149.430659272507 69.850684748461 151.278326705067 69.410632764767 150.049242596694 68.774424570890 148.226113924739 69.200115051274 20.75200 0.006000    12.901  03642a      2a       232 2010-04-14 01:28:16.103 55300.06129749 45775.74849778410 2010-04-13 12:45:20.354     7.7   3.750  5.7400   93.803  95.958         10         5
         1 148.88822000000000 69.065290000000000      2 149.748876089596 69.310908523606 149.431655941405 69.851894051213 151.284478637627 69.406354885572 150.047328855853 68.772355717306 148.218601931304 69.203112549908 19.59600 0.007000    28.420  03642a      2a       232 2010-04-14 01:28:16.103 55300.06129749 45775.74849778410 2010-04-13 12:45:20.354     7.7   4.600  6.8600   93.803  95.958         10         5
         1 148.88822000000000 69.065290000000000      3 149.747603523319 69.310454371707 149.446334976721 69.852217887115 151.283234870944 69.406178277858 150.029706175624 68.771538261743 148.218506445539 69.202546593669 17.80000 0.012000  1222.304  03642a      2a       232 2010-04-14 01:28:16.103 55300.06129749 45775.74849778410 2010-04-13 12:45:20.354     8.8   6.830 12.8300   93.803  95.958         10         5
         1 148.88822000000000 69.065290000000000      4 149.751152559981 69.310921586983 149.437329944013 69.855358463262 151.289280875866 69.413708995081 150.044411589122 68.770378381826 148.219781310932 69.196540667942 12.94500 0.012000   398.164  03642a      2a       232 2010-04-14 01:28:16.103 55300.06129749 45775.74849778410 2010-04-13 12:45:20.354     8.8   4.730  8.8600   93.803  95.958         10         5
